,index,Farm_ID,Farm_uni_ID,Flowcell,Routine_vaccine,culled,w_des,Household_waste,Antibiotic_admin,Supplement,Isolation,npeopl_contact,workers_exp_oa,visitors_inside,other_pa,Type_farm,Unit_traffic,ventilation,water_supply,feed_stored,dogs,Breed_strain,Ruminants,OtherBirds,N_breed,campy,shi,gall,Farm_ID_check,Date,Farm.GPS,N_GPS,E_GPS,Geog_cluster,GWAS,Observed,Chao1,se.chao1,Shannon,InvSimpson,PA2
AECK28CM2,AECK28CM2,AECK-28-K,Farm_AECK-28,AM14W,no,Normal,no,yes,no,no,no,8,yes,no,yes,Enclosed,no,Natural,Manual,Within premises,yes,Kadaknath,yes,no,CK,0,146,0,AECK-28(K),26-Feb-16,"24.12053N, 72.50080E",24.12053N,72.5008,C3,333,474,528.015873,15.55384484,4.683735165,41.19899771,PA1
AECK28CM3,AECK28CM3,AECK-28-K,Farm_AECK-28,AM14W,no,Normal,no,yes,no,no,no,8,yes,no,yes,Enclosed,no,Natural,Manual,Within premises,yes,Kadaknath,yes,no,CK,0,0,0,AECK-28(K),26-Feb-16,"24.12053N, 72.50080E",24.12053N,72.5008,C3,334,526,580.9230769,15.62893502,4.984527335,61.46387997,PA1
AECK28CM4,AECK28CM4,AECK-28-K,Farm_AECK-28,AM14W,no,Normal,no,yes,no,no,no,8,yes,no,yes,Enclosed,no,Natural,Manual,Within premises,yes,Kadaknath,yes,no,CK,0,0,0,AECK-28(K),26-Feb-16,"24.12053N, 72.50080E",24.12053N,72.5008,C3,335,430,449.8,7.945243408,4.984460731,73.59216821,PA1
AECK28CM5,AECK28CM5,AECK-28-K,Farm_AECK-28,AM14W,no,Normal,no,yes,no,no,no,8,yes,no,yes,Enclosed,no,Natural,Manual,Within premises,yes,Kadaknath,yes,no,CK,0,0,0,AECK-28(K),26-Feb-16,"24.12053N, 72.50080E",24.12053N,72.5008,C3,336,615,715.8791209,22.64970296,4.87246669,42.52682886,PA1
AECK28CM6,AECK28CM6,AECK-28-C,Farm_AECK-28,AM14W,no,Normal,no,yes,no,no,no,8,yes,no,yes,Enclosed,no,Natural,Manual,Within premises,yes,Commercial broiler,yes,no,CK,0,0,0,AECK-28(C),26-Feb-16,"24.12053N, 72.50080E",24.12053N,72.5008,C3,337,264,331.5357143,22.88411292,3.129932466,7.732133025,PA2
AECK28CM7,AECK28CM7,AECK-28-C,Farm_AECK-28,AM14W,no,Normal,no,yes,no,no,no,8,yes,no,yes,Enclosed,no,Natural,Manual,Within premises,yes,Commercial broiler,yes,no,CK,0,0,0,AECK-28(C),26-Feb-16,"24.12053N, 72.50080E",24.12053N,72.5008,C3,338,395,433.6363636,14.21004892,4.833839563,50.54641899,PA1
AECK28CM8,AECK28CM8,AECK-28-C,Farm_AECK-28,AM14W,no,Normal,no,yes,no,no,no,8,yes,no,yes,Enclosed,no,Natural,Manual,Within premises,yes,Commercial broiler,yes,no,CK,0,0,0,AECK-28(C),26-Feb-16,"24.12053N, 72.50080E",24.12053N,72.5008,C3,339,328,347.5,8.323057409,4.292491461,30.20699349,PA1
AECK28CM9,AECK28CM9,AECK-28-C,Farm_AECK-28,AM14W,no,Normal,no,yes,no,no,no,8,yes,no,yes,Enclosed,no,Natural,Manual,Within premises,yes,Commercial broiler,yes,no,CK,0,185,0,AECK-28(C),26-Feb-16,"24.12053N, 72.50080E",24.12053N,72.5008,C3,340,457,518.9491525,17.50685613,4.403656293,28.49906288,PA1
AECK29CM1,AECK29CM1,AECK-29-K,Farm_AECK-29,AM14W,no,high,no,yes,yes,no,no,3,no,no,no,Caged,no,Natural,Manual,Outside premises,no,Kadaknath,no,no,CK,0,0,0,AECK-29(K),27-Feb-16,"24.134630N, 72.13912E",24.134630N,72.13912,C3,341,439,503.8813559,18.1263616,4.165011212,16.11057497,PA3
AECK29CM10,AECK29CM10,AECK-29-C,Farm_AECK-29,AM14W,no,high,no,yes,yes,no,no,3,no,no,no,Caged,no,Natural,Manual,Outside premises,no,Commercial broiler,no,no,CK,0,0,0,AECK-29(C),27-Feb-16,"24.134630N, 72.13912E",24.134630N,72.13912,C3,342,234,249.037037,7.443677067,3.442633994,11.47701141,PA3
AECK29CM2,AECK29CM2,AECK-29-K,Farm_AECK-29,AM14W,no,high,no,yes,yes,no,no,3,no,no,no,Caged,no,Natural,Manual,Outside premises,no,Kadaknath,no,no,CK,0,0,0,AECK-29(K),27-Feb-16,"24.134630N, 72.13912E",24.134630N,72.13912,C3,343,377,441.7727273,19.53754938,3.99278035,14.40650946,PA3
AECK29CM3,AECK29CM3,AECK-29-K,Farm_AECK-29,AM14W,no,high,no,yes,yes,no,no,3,no,no,no,Caged,no,Natural,Manual,Outside premises,no,Kadaknath,no,no,CK,0,0,0,AECK-29(K),27-Feb-16,"24.134630N, 72.13912E",24.134630N,72.13912,C3,344,379,414.1702128,12.15456097,4.493260518,33.95926434,PA3
AECK29CM4,AECK29CM4,AECK-29-K,Farm_AECK-29,AM14W,no,high,no,yes,yes,no,no,3,no,no,no,Caged,no,Natural,Manual,Outside premises,no,Kadaknath,no,no,CK,0,0,0,AECK-29(K),27-Feb-16,"24.134630N, 72.13912E",24.134630N,72.13912,C3,345,319,351.6666667,12.26431659,3.997944676,17.09629147,PA3
AECK29CM5,AECK29CM5,AECK-29-K,Farm_AECK-29,AM14W,no,high,no,yes,yes,no,no,3,no,no,no,Caged,no,Natural,Manual,Outside premises,no,Kadaknath,no,no,CK,0,0,0,AECK-29(K),27-Feb-16,"24.134630N, 72.13912E",24.134630N,72.13912,C3,346,418,489.0789474,21.84864576,4.712042061,45.94861342,PA3
AECK29CM6,AECK29CM6,AECK-29-C,Farm_AECK-29,AM14W,no,high,no,yes,yes,no,no,3,no,no,no,Caged,no,Natural,Manual,Outside premises,no,Commercial broiler,no,no,CK,0,0,0,AECK-29(C),27-Feb-16,"24.134630N, 72.13912E",24.134630N,72.13912,C3,347,277,286.5588235,5.175966773,4.326579669,40.60464465,PA3
AECK29CM7,AECK29CM7,AECK-29-C,Farm_AECK-29,AM14W,no,high,no,yes,yes,no,no,3,no,no,no,Caged,no,Natural,Manual,Outside premises,no,Commercial broiler,no,no,CK,321,163,6,AECK-29(C),27-Feb-16,"24.134630N, 72.13912E",24.134630N,72.13912,C3,348,490,552.9189189,16.75240513,4.712351266,45.38516521,PA3
AECK29CM8,AECK29CM8,AECK-29-C,Farm_AECK-29,AM14W,no,high,no,yes,yes,no,no,3,no,no,no,Caged,no,Natural,Manual,Outside premises,no,Commercial broiler,no,no,CK,0,0,0,AECK-29(C),27-Feb-16,"24.134630N, 72.13912E",24.134630N,72.13912,C3,349,412,484.75,19.3565522,3.710446451,12.99984289,PA3
AECK29CM9,AECK29CM9,AECK-29-C,Farm_AECK-29,AM14W,no,high,no,yes,yes,no,no,3,no,no,no,Caged,no,Natural,Manual,Outside premises,no,Commercial broiler,no,no,CK,119,99,0,AECK-29(C),27-Feb-16,"24.134630N, 72.13912E",24.134630N,72.13912,C3,350,569,695.0119048,27.4013809,4.52649764,26.94120367,PA3
AECK30CM6,AECK30CM6,AECK-30-C,Farm_AECK-30,AM14W,no,Normal,no,yes,no,yes,no,10,yes,no,yes,Caged,no,Natural,Manual,Outside premises,yes,Commercial broiler,yes,yes,CK,0,0,0,AECK-30(C),27-Feb-16,"24.22447N, 72.43576E",24.22447N,72.43576,C3,367,546,631.4117647,20.33222602,4.733244538,39.54355965,PA1
AECK10CM1,AECK10CM1,AECK-10-K,Farm_AECK-10,AM15C,no,high,no,yes,no,no,no,5,yes,yes,yes,Enclosed,yes,Natural,Manual,Outside premises,yes,Kadaknath,yes,no,CK,0,0,0,AECK-10(K),02-Feb-16,"22.79874N, 73.97451E",22.79874N,73.97451,C10,144,445,536.7142857,23.18527191,4.499132784,32.0798309,PA3
AECK10CM10,AECK10CM10,AECK-10-C,Farm_AECK-10,AM15C,no,high,no,yes,no,no,no,5,yes,yes,yes,Enclosed,yes,Natural,Manual,Outside premises,yes,Commercial broiler,yes,no,CK,9,325,1,AECK-10(C),02-Feb-16,"22.79874N, 73.97451E",22.79874N,73.97451,C10,145,585,682.5,22.39462151,4.798072399,35.03040289,PA1
AECK10CM2,AECK10CM2,AECK-10-K,Farm_AECK-10,AM15C,no,high,no,yes,no,no,no,5,yes,yes,yes,Enclosed,yes,Natural,Manual,Outside premises,yes,Kadaknath,yes,no,CK,0,0,4,AECK-10(K),02-Feb-16,"22.79874N, 73.97451E",22.79874N,73.97451,C10,146,519,678.0128205,33.51451961,4.505252916,32.49253672,PA3
AECK10CM4,AECK10CM4,AECK-10-K,Farm_AECK-10,AM15C,no,high,no,yes,no,no,no,5,yes,yes,yes,Enclosed,yes,Natural,Manual,Outside premises,yes,Kadaknath,yes,no,CK,0,23,0,AECK-10(K),02-Feb-16,"22.79874N, 73.97451E",22.79874N,73.97451,C10,148,668,825.5925926,30.41905677,5.072730206,67.47026302,PA3
AECK10CM5,AECK10CM5,AECK-10-K,Farm_AECK-10,AM15C,no,high,no,yes,no,no,no,5,yes,yes,yes,Enclosed,yes,Natural,Manual,Outside premises,yes,Kadaknath,yes,no,CK,21,15,0,AECK-10(K),02-Feb-16,"22.79874N, 73.97451E",22.79874N,73.97451,C10,149,724,947.2,40.19571062,5.311726538,94.4911708,PA3
AECK10CM7,AECK10CM7,AECK-10-C,Farm_AECK-10,AM15C,no,high,no,yes,no,no,no,5,yes,yes,yes,Enclosed,yes,Natural,Manual,Outside premises,yes,Commercial broiler,yes,no,CK,36,176,6,AECK-10(C),02-Feb-16,"22.79874N, 73.97451E",22.79874N,73.97451,C10,151,771,936,29.81964709,5.382548296,98.75784735,PA3
AECK11CM1,AECK11CM1,AECK-11-K,Farm_AECK-11,AM15C,no,high,no,yes,no,no,no,5,yes,yes,yes,Enclosed,yes,Natural,Manual,Outside premises,yes,Kadaknath,yes,yes,CK,0,50,0,AECK-11(K),03-Feb-16,"22.81321N, 74.23134E",22.81321N,74.23134,C10,154,679,785.5,23.40179542,5.22563347,69.58313075,PA1
AECK11CM10,AECK11CM10,AECK-11-C,Farm_AECK-11,AM15C,no,high,no,yes,no,no,no,5,yes,yes,yes,Enclosed,yes,Natural,Manual,Outside premises,yes,Commercial broiler,yes,yes,CK,49,13,0,AECK-11(C),03-Feb-16,"22.81321N, 74.23134E",22.81321N,74.23134,C10,155,677,836.0654206,30.71412853,4.604032973,21.55897093,PA1
AECK11CM2,AECK11CM2,AECK-11-K,Farm_AECK-11,AM15C,no,high,no,yes,no,no,no,5,yes,yes,yes,Enclosed,yes,Natural,Manual,Outside premises,yes,Kadaknath,yes,yes,CK,0,37,0,AECK-11(K),03-Feb-16,"22.81321N, 74.23134E",22.81321N,74.23134,C10,156,658,817.6111111,32.28778239,4.988520548,54.8186169,PA1
AECK11CM3,AECK11CM3,AECK-11-K,Farm_AECK-11,AM15C,no,high,no,yes,no,no,no,5,yes,yes,yes,Enclosed,yes,Natural,Manual,Outside premises,yes,Kadaknath,yes,yes,CK,0,275,0,AECK-11(K),03-Feb-16,"22.81321N, 74.23134E",22.81321N,74.23134,C10,157,539,615.7407407,18.99394126,4.735270182,33.42333113,PA1
AECK11CM4,AECK11CM4,AECK-11-K,Farm_AECK-11,AM15C,no,high,no,yes,no,no,no,5,yes,yes,yes,Enclosed,yes,Natural,Manual,Outside premises,yes,Kadaknath,yes,yes,CK,0,37,0,AECK-11(K),03-Feb-16,"22.81321N, 74.23134E",22.81321N,74.23134,C10,158,717,811.7222222,19.96027743,5.384127094,109.1520224,PA3
AECK11CM7,AECK11CM7,AECK-11-C,Farm_AECK-11,AM15C,no,high,no,yes,no,no,no,5,yes,yes,yes,Enclosed,yes,Natural,Manual,Outside premises,yes,Commercial broiler,yes,yes,CK,20,0,0,AECK-11(C),03-Feb-16,"22.81321N, 74.23134E",22.81321N,74.23134,C10,161,742,883.6952381,28.24901666,5.36871403,87.47207191,PA1
AECK11CM9,AECK11CM9,AECK-11-C,Farm_AECK-11,AM15C,no,high,no,yes,no,no,no,5,yes,yes,yes,Enclosed,yes,Natural,Manual,Outside premises,yes,Commercial broiler,yes,yes,CK,0,0,0,AECK-11(C),03-Feb-16,"22.81321N, 74.23134E",22.81321N,74.23134,C10,163,652,784.5,27.47976329,4.996171085,52.25900468,PA1
AECK12CM1,AECK12CM1,AECK-12-K,Farm_AECK-12,AM15C,no,high,no,yes,no,no,no,5,yes,yes,yes,Enclosed,yes,Natural,Manual,Outside premises,yes,Kadaknath,yes,yes,CK,12,38,0,AECK-12(K),03-Feb-16,"22.69937N, 74.35008E",22.69937N,74.35008,C10,164,301,386.1304348,23.84661051,3.111342348,8.044548558,PA2
AECK12CM10,AECK12CM10,AECK-12-C,Farm_AECK-12,AM15C,no,high,no,yes,no,no,no,5,yes,yes,yes,Enclosed,yes,Natural,Manual,Outside premises,yes,Commercial broiler,yes,yes,CK,28,20,0,AECK-12(C),03-Feb-16,"22.69937N, 74.35008E",22.69937N,74.35008,C10,165,494,643,32.32613369,4.028439184,17.79099889,PA2
AECK12CM3,AECK12CM3,AECK-12-K,Farm_AECK-12,AM15C,no,high,no,yes,no,no,no,5,yes,yes,yes,Enclosed,yes,Natural,Manual,Outside premises,yes,Kadaknath,yes,yes,CK,22,683,0,AECK-12(K),03-Feb-16,"22.69937N, 74.35008E",22.69937N,74.35008,C10,167,391,486.2830189,25.02993535,3.840307364,15.89581479,PA2
AECK12CM4,AECK12CM4,AECK-12-K,Farm_AECK-12,AM15C,no,high,no,yes,no,no,no,5,yes,yes,yes,Enclosed,yes,Natural,Manual,Outside premises,yes,Kadaknath,yes,yes,CK,23,56,0,AECK-12(K),03-Feb-16,"22.69937N, 74.35008E",22.69937N,74.35008,C10,168,511,658.1898734,31.43372438,4.42635193,30.93590065,PA1
AECK12CM5,AECK12CM5,AECK-12-K,Farm_AECK-12,AM15C,no,high,no,yes,no,no,no,5,yes,yes,yes,Enclosed,yes,Natural,Manual,Outside premises,yes,Kadaknath,yes,yes,CK,89,44,157,AECK-12(K),03-Feb-16,"22.69937N, 74.35008E",22.69937N,74.35008,C10,169,532,611.2178218,18.43791862,3.603793391,5.750228103,PA2
AECK12CM6,AECK12CM6,AECK-12-C,Farm_AECK-12,AM15C,no,high,no,yes,no,no,no,5,yes,yes,yes,Enclosed,yes,Natural,Manual,Outside premises,yes,Commercial broiler,yes,yes,CK,35,22,0,AECK-12(C),03-Feb-16,"22.69937N, 74.35008E",22.69937N,74.35008,C10,170,572,694.71875,25.91677298,4.392722589,20.17856894,PA1
AECK12CM7,AECK12CM7,AECK-12-C,Farm_AECK-12,AM15C,no,high,no,yes,no,no,no,5,yes,yes,yes,Enclosed,yes,Natural,Manual,Outside premises,yes,Commercial broiler,yes,yes,CK,25,16,0,AECK-12(C),03-Feb-16,"22.69937N, 74.35008E",22.69937N,74.35008,C10,171,469,596,29.71650635,4.226285967,21.04044396,PA2
AECK12CM8,AECK12CM8,AECK-12-C,Farm_AECK-12,AM15C,no,high,no,yes,no,no,no,5,yes,yes,yes,Enclosed,yes,Natural,Manual,Outside premises,yes,Commercial broiler,yes,yes,CK,17,23,0,AECK-12(C),03-Feb-16,"22.69937N, 74.35008E",22.69937N,74.35008,C10,172,577,704.5,28.84108457,4.94198253,57.58971389,PA1
AECK12CM9,AECK12CM9,AECK-12-C,Farm_AECK-12,AM15C,no,high,no,yes,no,no,no,5,yes,yes,yes,Enclosed,yes,Natural,Manual,Outside premises,yes,Commercial broiler,yes,yes,CK,12,0,0,AECK-12(C),03-Feb-16,"22.69937N, 74.35008E",22.69937N,74.35008,C10,173,610,769.1190476,32.8369152,4.990985577,62.4162673,PA1
AECK13CM1,AECK13CM1,AECK-13-K,Farm_AECK-13,AM15C,no,high,no,yes,no,no,no,1,yes,yes,yes,Enclosed,yes,Natural,Manual,Outside premises,yes,Kadaknath,yes,no,CK,254,426,15,AECK-13(K),04-Feb-16,"22.87804N, 74.42524E",22.87804N,74.42524,C10,174,520,665.2658228,31.11257691,4.511894218,36.79335347,PA2
AECK13CM10,AECK13CM10,AECK-13-C,Farm_AECK-13,AM15C,no,high,no,yes,no,no,no,1,yes,yes,yes,Enclosed,yes,Natural,Manual,Outside premises,yes,Commercial broiler,yes,no,CK,0,231,0,AECK-13(C),04-Feb-16,"22.87804N, 74.42524E",22.87804N,74.42524,C10,175,452,583.0149254,30.05869523,4.175603888,23.10712496,PA1
AECK13CM2,AECK13CM2,AECK-13-K,Farm_AECK-13,AM15C,no,high,no,yes,no,no,no,1,yes,yes,yes,Enclosed,yes,Natural,Manual,Outside premises,yes,Kadaknath,yes,no,CK,89,177,0,AECK-13(K),04-Feb-16,"22.87804N, 74.42524E",22.87804N,74.42524,C10,176,541,708.075,34.5924752,4.587405893,38.88656985,PA2
AECK13CM4,AECK13CM4,AECK-13-K,Farm_AECK-13,AM15C,no,high,no,yes,no,no,no,1,yes,yes,yes,Enclosed,yes,Natural,Manual,Outside premises,yes,Kadaknath,yes,no,CK,72,302,0,AECK-13(K),04-Feb-16,"22.87804N, 74.42524E",22.87804N,74.42524,C10,178,511,629.0985915,27.28079802,4.655433095,39.88450891,PA2
AECK13CM5,AECK13CM5,AECK-13-K,Farm_AECK-13,AM15C,no,high,no,yes,no,no,no,1,yes,yes,yes,Enclosed,yes,Natural,Manual,Outside premises,yes,Kadaknath,yes,no,CK,17,223,0,AECK-13(K),04-Feb-16,"22.87804N, 74.42524E",22.87804N,74.42524,C10,179,696,867.364486,32.53050063,5.125045213,68.86306074,PA2
AECK13CM6,AECK13CM6,AECK-13-C,Farm_AECK-13,AM15C,no,high,no,yes,no,no,no,1,yes,yes,yes,Enclosed,yes,Natural,Manual,Outside premises,yes,Commercial broiler,yes,no,CK,23,1476,8,AECK-13(C),04-Feb-16,"22.87804N, 74.42524E",22.87804N,74.42524,C10,180,589,695.5625,22.40524961,4.662702679,37.09748861,PA2
AECK13CM7,AECK13CM7,AECK-13-C,Farm_AECK-13,AM15C,no,high,no,yes,no,no,no,1,yes,yes,yes,Enclosed,yes,Natural,Manual,Outside premises,yes,Commercial broiler,yes,no,CK,72,1209,7,AECK-13(C),04-Feb-16,"22.87804N, 74.42524E",22.87804N,74.42524,C10,181,463,557.9746835,22.43771035,4.308094974,28.89604156,PA2
AECK13CM8,AECK13CM8,AECK-13-C,Farm_AECK-13,AM15C,no,high,no,yes,no,no,no,1,yes,yes,yes,Enclosed,yes,Natural,Manual,Outside premises,yes,Commercial broiler,yes,no,CK,29,499,67,AECK-13(C),04-Feb-16,"22.87804N, 74.42524E",22.87804N,74.42524,C10,182,534,619.8987342,20.79783366,4.781987926,48.52045157,PA2
AECK13CM9,AECK13CM9,AECK-13-C,Farm_AECK-13,AM15C,no,high,no,yes,no,no,no,1,yes,yes,yes,Enclosed,yes,Natural,Manual,Outside premises,yes,Commercial broiler,yes,no,CK,0,158,5,AECK-13(C),04-Feb-16,"22.87804N, 74.42524E",22.87804N,74.42524,C10,183,476,598.4,27.62956117,4.151485334,21.67972017,PA1
AECK5CM1,AECK05CM1,AECK-05-K,Farm_AECK-05,AM15C,yes,high,yes,no,yes,yes,yes,3,no,no,no,open,no,Natural,Automatic,Outside premises,yes,Kadaknath,no,no,CK,22,0,2,AECK-5(K),23-Jan-16,"22.49457N, 72.65744E",22.49457N,72.65744,C8,391,689,894.009901,38.01542559,4.647077025,23.4874562,PA1
AECK5CM10,AECK05CM10,AECK-05-C,Farm_AECK-05,AM15C,yes,high,yes,no,yes,yes,yes,3,no,no,no,open,no,Natural,Automatic,Outside premises,yes,Commercial broiler,no,no,CK,0,32,0,AECK-5(C),27-Jan-16,"22.49457N, 72.65744E",22.49457N,72.65744,C8,392,679,788.6551724,22.69175117,4.596815185,21.15894171,PA1
AECK5CM2,AECK05CM2,AECK-05-K,Farm_AECK-05,AM15C,yes,high,yes,no,yes,yes,yes,3,no,no,no,open,no,Natural,Automatic,Outside premises,yes,Kadaknath,no,no,CK,27,65,0,AECK-5(K),23-Jan-16,"22.49457N, 72.65744E",22.49457N,72.65744,C8,393,646,793.047619,27.70874044,4.466950077,26.33851196,PA2
AECK5CM3,AECK05CM3,AECK-05-K,Farm_AECK-05,AM15C,yes,high,yes,no,yes,yes,yes,3,no,no,no,open,no,Natural,Automatic,Outside premises,yes,Kadaknath,no,no,CK,11,0,0,AECK-5(K),23-Jan-16,"22.49457N, 72.65744E",22.49457N,72.65744,C8,394,592,675.34375,19.37678359,4.522481235,27.04276836,PA1
AECK5CM4,AECK05CM4,AECK-05-K,Farm_AECK-05,AM15C,yes,high,yes,no,yes,yes,yes,3,no,no,no,open,no,Natural,Automatic,Outside premises,yes,Kadaknath,no,no,CK,6,7,0,AECK-5(K),23-Jan-16,"22.49457N, 72.65744E",22.49457N,72.65744,C8,395,682,844.3113208,31.27494463,4.808445426,38.60998927,PA1
AECK5CM5,AECK05CM5,AECK-05-K,Farm_AECK-05,AM15C,yes,high,yes,no,yes,yes,yes,3,no,no,no,open,no,Natural,Automatic,Outside premises,yes,Kadaknath,no,no,CK,22,0,0,AECK-5(K),23-Jan-16,"22.49457N, 72.65744E",22.49457N,72.65744,C8,396,659,786.9906542,26.01514024,4.826873793,39.28644721,PA1
AECK5CM6,AECK05CM6,AECK-05-C,Farm_AECK-05,AM15C,yes,high,yes,no,yes,yes,yes,3,no,no,no,open,no,Natural,Automatic,Outside premises,yes,Commercial broiler,no,no,CK,33,10,0,AECK-5(C),27-Jan-16,"22.49457N, 72.65744E",22.49457N,72.65744,C8,397,794,964.1162791,30.7665436,5.15371672,42.49439056,PA1
AECK5CM7,AECK05CM7,AECK-05-C,Farm_AECK-05,AM15C,yes,high,yes,no,yes,yes,yes,3,no,no,no,open,no,Natural,Automatic,Outside premises,yes,Commercial broiler,no,no,CK,41,29,2,AECK-5(C),27-Jan-16,"22.49457N, 72.65744E",22.49457N,72.65744,C8,398,788,908.3972603,23.00142361,5.118002342,46.95696466,PA1
AECK5CM8,AECK05CM8,AECK-05-C,Farm_AECK-05,AM15C,yes,high,yes,no,yes,yes,yes,3,no,no,no,open,no,Natural,Automatic,Outside premises,yes,Commercial broiler,no,no,CK,14,14,0,AECK-5(C),27-Jan-16,"22.49457N, 72.65744E",22.49457N,72.65744,C8,399,676,800.1935484,24.4974785,4.851042707,42.66801815,PA1
AECK5CM9,AECK05CM9,AECK-05-C,Farm_AECK-05,AM15C,yes,high,yes,no,yes,yes,yes,3,no,no,no,open,no,Natural,Automatic,Outside premises,yes,Commercial broiler,no,no,CK,25,20,0,AECK-5(C),27-Jan-16,"22.49457N, 72.65744E",22.49457N,72.65744,C8,400,781,958.9173554,32.388951,5.072099631,49.18594865,PA1
AECK6CM1,AECK06CM1,AECK-06-K,Farm_AECK-06,AM15C,yes,high,yes,no,yes,yes,yes,5,no,no,yes,open,no,Natural,Automatic,Within premises,yes,Kadaknath,yes,no,CK,9,51,0,AECK-6(K),23-Jan-16,"22.49812N, 72.52444E",22.49812N,72.52444,C8,401,795,1003.295455,35.72324325,4.710413531,24.72883285,PA1
AECK6CM10,AECK06CM10,AECK-06-C,Farm_AECK-06,AM15C,yes,high,yes,no,yes,yes,yes,5,no,no,yes,open,no,Natural,Automatic,Within premises,yes,Commercial broiler,yes,no,CK,23,3,0,AECK-6(C),27-Jan-16,"22.49812N, 72.52444E",22.49812N,72.52444,C8,402,716,872.8666667,30.54162296,5.101240864,45.5555875,PA1
AECK6CM2,AECK06CM2,AECK-06-K,Farm_AECK-06,AM15C,yes,high,yes,no,yes,yes,yes,5,no,no,yes,open,no,Natural,Automatic,Within premises,yes,Kadaknath,yes,no,CK,0,0,7,AECK-6(K),23-Jan-16,"22.49812N, 72.52444E",22.49812N,72.52444,C8,403,557,666.6,24.54697384,4.383557022,25.78133743,PA2
AECK6CM3,AECK06CM3,AECK-06-K,Farm_AECK-06,AM15C,yes,high,yes,no,yes,yes,yes,5,no,no,yes,open,no,Natural,Automatic,Within premises,yes,Kadaknath,yes,no,CK,6,0,0,AECK-6(K),23-Jan-16,"22.49812N, 72.52444E",22.49812N,72.52444,C8,404,424,492.4705882,18.2138115,3.740808601,12.21816646,PA2
AECK6CM4,AECK06CM4,AECK-06-K,Farm_AECK-06,AM15C,yes,high,yes,no,yes,yes,yes,5,no,no,yes,open,no,Natural,Automatic,Within premises,yes,Kadaknath,yes,no,CK,154,64,0,AECK-6(K),23-Jan-16,"22.49812N, 72.52444E",22.49812N,72.52444,C8,405,488,566.9069767,19.10926277,4.259095858,21.15234363,PA1
AECK6CM5,AECK06CM5,AECK-06-K,Farm_AECK-06,AM15C,yes,high,yes,no,yes,yes,yes,5,no,no,yes,open,no,Natural,Automatic,Within premises,yes,Kadaknath,yes,no,CK,155,0,0,AECK-6(K),23-Jan-16,"22.49812N, 72.52444E",22.49812N,72.52444,C8,406,646,767.1294118,26.49768931,5.235376834,83.70902487,PA2
AECK6CM6,AECK06CM6,AECK-06-C,Farm_AECK-06,AM15C,yes,high,yes,no,yes,yes,yes,5,no,no,yes,open,no,Natural,Automatic,Within premises,yes,Commercial broiler,yes,no,CK,32,0,0,AECK-6(C),27-Jan-16,"22.49812N, 72.52444E",22.49812N,72.52444,C8,407,605,684.7840909,19.15925948,4.85343981,36.58312287,PA1
AECK6CM7,AECK06CM7,AECK-06-C,Farm_AECK-06,AM15C,yes,high,yes,no,yes,yes,yes,5,no,no,yes,open,no,Natural,Automatic,Within premises,yes,Commercial broiler,yes,no,CK,112,40,16,AECK-6(C),27-Jan-16,"22.49812N, 72.52444E",22.49812N,72.52444,C8,408,683,874.0322581,36.8193236,5.026109177,53.17037267,PA2
AECK6CM8,AECK06CM8,AECK-06-C,Farm_AECK-06,AM15C,yes,high,yes,no,yes,yes,yes,5,no,no,yes,open,no,Natural,Automatic,Within premises,yes,Commercial broiler,yes,no,CK,18,16,0,AECK-6(C),27-Jan-16,"22.49812N, 72.52444E",22.49812N,72.52444,C8,409,565,683.0581395,25.90076987,4.710452203,43.82006786,PA1
AECK6CM9,AECK06CM9,AECK-06-C,Farm_AECK-06,AM15C,yes,high,yes,no,yes,yes,yes,5,no,no,yes,open,no,Natural,Automatic,Within premises,yes,Commercial broiler,yes,no,CK,31,36,0,AECK-6(C),27-Jan-16,"22.49812N, 72.52444E",22.49812N,72.52444,C8,410,498,605.5806452,26.34001357,4.335492717,23.78856855,PA2
AECK7CM2,AECK07CM2,AECK-07-K,Farm_AECK-07,AM15C,yes,Normal,yes,no,no,yes,yes,5,no,no,no,open,no,Natural,Automatic,Within premises,yes,Kadaknath,no,no,CK,23,26,0,AECK-7(K),24-Jan-16,"22.62874N, 70.94519E",22.62874N,70.94519,C1,413,710,837.8571429,24.93741155,5.120461304,59.03682296,PA1
AECK7CM3,AECK07CM3,AECK-07-K,Farm_AECK-07,AM15C,yes,Normal,yes,no,no,yes,yes,5,no,no,no,open,no,Natural,Automatic,Within premises,yes,Kadaknath,no,no,CK,17,21,0,AECK-7(K),24-Jan-16,"22.62874N, 70.94519E",22.62874N,70.94519,C1,414,752,894.3333333,27.55452936,5.018533266,42.89302586,PA1
AECK7CM4,AECK07CM4,AECK-07-K,Farm_AECK-07,AM15C,yes,Normal,yes,no,no,yes,yes,5,no,no,no,open,no,Natural,Automatic,Within premises,yes,Kadaknath,no,no,CK,509,0,0,AECK-7(K),24-Jan-16,"22.62874N, 70.94519E",22.62874N,70.94519,C1,415,590,785.6428571,40.77410512,4.754801527,44.36875162,PA1
AECK7CM5,AECK07CM5,AECK-07-K,Farm_AECK-07,AM15C,yes,Normal,yes,no,no,yes,yes,5,no,no,no,open,no,Natural,Automatic,Within premises,yes,Kadaknath,no,no,CK,254,31,5,AECK-7(K),24-Jan-16,"22.62874N, 70.94519E",22.62874N,70.94519,C1,416,528,663.7051282,29.61078822,4.233716857,24.67240431,PA2
